COC(=O)O	000	methyl hydrogen carbonate
Cc1ccc(cc1C=Cn2cnc3c2ncnc3NC4CC4)C(=O)Nc5cc(cc(c5)n6cc(nc6)C)C(F)(F)F	B91	3-{(e)-2-[6-(cyclopropylamino)-9h-purin-9-yl]ethenyl}-4-methyl-n-[3-(4-methyl-1h-imidazol-1-yl)-5-(trifluoromethyl)phenyl]benzamide
CC(=O)C(CC(=O)O)NC(=O)C1C=C2CCCCC2N3N1C(=O)N(C3=O)CC(CCC(=O)O)NC(=O)Cc4ccccc4	B92	(3s)-3-({[(5s,10as)-2-{(2s)-4-carboxy-2-[(phenylacetyl)amino]butyl}-1,3-dioxo-2,3,5,7,8,9,10,10a-octahydro-1h-[1,2,4]triazolo[1,2-a]cinnolin-5-yl]carbonyl}amino)-4-oxopentanoic acid
CC(=O)C(CC(=O)O)NC(=O)C1C=C(CN2N1C(=O)N(C2=O)CCNC(=O)c3ccc4c(c3)nc[nH]4)CC5CCCCC5	B93	(3s)-3-({[(5s)-2-{2-[(1h-benzimidazol-5-ylcarbonyl)amino]ethyl}-7-(cyclohexylmethyl)-1,3-dioxo-2,3,5,8-tetrahydro-1h-[1,2,4]triazolo[1,2-a]pyridazin-5-yl]carbonyl}amino)-4-oxopentanoic acid
CC(=O)C(CC(=O)O)NC(=O)C1C=CC(N2N1C(=O)N(C2=O)CCCC(=O)O)CCNC(=O)Cc3ccc(cc3)Cl	B94	(3s)-3-({[(5s,8r)-2-(3-carboxypropyl)-8-(2-{[(4-chlorophenyl)acetyl]amino}ethyl)-1,3-dioxo-2,3,5,8-tetrahydro-1h-[1,2,4]triazolo[1,2-a]pyridazin-5-yl]carbonyl}amino)-4-oxopentanoic acid
c1ccc2c(c1)[nH]c(n2)CCNC(=O)COc3ccccc3Br	B95	n-[2-(1h-benzimidazol-2-yl)ethyl]-2-(2-bromophenoxy)acetamide
Cc1ccc(cc1)n2c(cc(n2)C(C)(C)C)NC(=O)Nc3ccc(c4c3cccc4)OCCN5CCOCC5	B96	1-(5-tert-butyl-2-p-tolyl-2h-pyrazol-3-yl)-3-[4-(2-morpholin-4-yl-ethoxy)-naphthalen-1-yl]-urea
Cc1ccc(cn1)c2ccc3c(n2)ccc4c3c5c(s4)C(=O)NC(CN5)C	B97	(10r)-10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8h-[1,4]diazepino[5',6':4,5]thieno[3,2-f]quinolin-8-one
COc1ccc2c(c1)c3c(s2)C(=O)NC(CN3)CN	B98	(3r)-3-(aminomethyl)-9-methoxy-1,2,3,4-tetrahydro-5h-[1]benzothieno[3,2-e][1,4]diazepin-5-one
Cc1c2cc(ccc2n[nH]1)c3cc(cnc3c4ccoc4)OCC(Cc5c[nH]c6c5cccc6)N	B99	(2s)-1-{[6-furan-3-yl-5-(3-methyl-2h-indazol-5-yl)pyridin-3-yl]oxy}-3-(1h-indol-3-yl)propan-2-amine
c1ccc2c(c1)c3c4cccc(c4n2)CSCCNC(CCC(=O)NCCSCc5cccc6c5nc7ccccc7c6NCCCNCCCCNCCCN3)O	B9A	macrocyclic-bis-9-amino-acridine
CCCOc1c2c(nc(n1)N)n(cn2)C3C(C(C(O3)COP(=O)(O)O)O)O	B9B	6-propyl, guanosine-5'-monophosphate
CS(=O)(=O)Nc1ccccc1CNc2ccc3c(c2)c(n[nH]3)c4ccc(nc4)N5CCNCC5	B9C	n-{2-[({3-[6-(piperazin-1-yl)pyridin-3-yl]-1h-indazol-5-yl}amino)methyl]phenyl}methanesulfonamide
C(C1(C(C(C(C(O1)O)O)O)O)F)O	B9D	5-fluoro-alpha-l-idopyranose
C1C2C(C(S1)CCCCC(C34C5[Fe]3678913(C5C6C74)C4C8C9C1C34)O)NC(=O)N2	B9F	[(1,2,3,4,5-eta)-cyclopentadienyl]{(1,2,3,4,5-eta)-1-[1-hydroxy-5-(2-oxohexahydro-1h-thieno[3,4-d]imidazol-4-yl)pentyl]cyclopentadienyl}iron
CCCN1C(C=CN(C1=O)C2C(C(C(O2)COP(=O)(O)O)O)OC)N	B9H	2'-methyl, 3-propyl, cytidine-5'-monophosphate
Cc1c([nH]c(n1)SC)c2ccnc(c2)Nc3ccc(cc3)N4CCOCC4	B9K	4-(4-methyl-2-methylsulfanyl-1~{h}-imidazol-5-yl)-~{n}-(4-morpholin-4-ylphenyl)pyridin-2-amine
CNC(Cc1ccccc1)C(=O)NC(Cc2c[nH]c3c2cccc3)CO	B9L	n-[(2s)-1-hydroxy-3-(1h-indol-3-yl)propan-2-yl]-nalpha-methyl-l-phenylalaninamide
CCCC#CC=CCCCCCCCCCO	B9M	(10e)-hexadec-10-en-12-yn-1-ol
COc1ccc(cc1)c2ccc(cc2)S(=O)(=O)c3ccccc3C(CCC(=O)O)C(=O)O	B9N	(2~{s})-2-[2-[4-(4-methoxyphenyl)phenyl]sulfonylphenyl]pentanedioic acid
CC(C)C(C(=O)NC(Cc1csc2c1cccc2)CO)NC	B9O	n-[(2s)-1-(1-benzothiophen-3-yl)-3-hydroxypropan-2-yl]-n~2~-methyl-l-valinamide
c1cc2ccc3ccc(c4c3c2c(c1)cc4)C(=O)CCCCC5C6C(CS5)NC(=O)N6	B9P	1-biotinylpyrene
CC(C(c1ccc(nc1)OC)Oc2ccc3c(c2)cnn3c4ccc(cc4)F)NC(=O)C5CC5	B9Q	~{n}-[(1~{r},2~{s})-1-[1-(4-fluorophenyl)indazol-5-yl]oxy-1-(6-methoxypyridin-3-yl)propan-2-yl]cyclopropanecarboxamide
CC(C)C(C(=O)NC(Cc1c[nH]c2c1cccc2)CO)NC	B9R	n-[(2s)-1-hydroxy-3-(1h-indol-3-yl)propan-2-yl]-n~2~-methyl-l-valinamide
CC1(CCN(CC1)CC(Cn2c3c(c(n2)c4ccc(c(c4)CNCc5ccc(cc5)F)C(F)(F)F)CN(CC3)S(=O)(=O)C)O)C	B9S	(2s)-1-(4,4-dimethylpiperidin-1-yl)-3-{3-[3-({[(4-fluorophenyl)methyl]amino}methyl)-4-(trifluoromethyl)phenyl]-5-(methylsulfonyl)-4,5,6,7-tetrahydro-1h-pyrazolo[4,3-c]pyridin-1-yl}propan-2-ol
CC(C(c1cnc(nc1)C2CC2)Oc3ccc(cc3Br)C#N)NC(=O)C(C)(F)F	B9T	~{n}-[(1~{r},2~{s})-1-(2-bromanyl-4-cyano-phenoxy)-1-(2-cyclopropylpyrimidin-5-yl)propan-2-yl]-2,2-bis(fluoranyl)propanamide
CC(C)C(C(=O)NC(Cc1c[nH]c2c1cccc2)CO)O	B9U	(2s)-2-hydroxy-n-[(2s)-1-hydroxy-3-(1h-indol-3-yl)propan-2-yl]-3-methylbutanamide
CC(C)C(C(c1ccccc1)Oc2ccc3c(c2)cnn3C4=CN(C(=O)C=C4)C)NC(=O)C(C)(F)F	B9W	2,2-bis(fluoranyl)-~{n}-[(1~{r},2~{s})-3-methyl-1-[1-(1-methyl-6-oxidanylidene-pyridin-3-yl)indazol-5-yl]oxy-1-phenyl-butan-2-yl]propanamide
CCOCCOCCC(=O)OC1CC(OC1COP(=O)(O)O)n2cnc3c2ncnc3N	B9X	[(2r,3s,5r)-5-(6-aminopurin-9-yl)-2-(phosphonooxymethyl)oxolan-3-yl] 3-(2-ethoxyethoxy)propanoate
c1cc(c(cc1c2c3c(n(n2)CC(CN4CCCCC4)O)CCN(C3)C(=O)CO)SCCN5CCC(CC5)F)C(F)(F)F	B9Y	1-{3-[3-{[2-(4-fluoropiperidin-1-yl)ethyl]sulfanyl}-4-(trifluoromethyl)phenyl]-1-[(2s)-2-hydroxy-3-(piperidin-1-yl)propyl]-1,4,6,7-tetrahydro-5h-pyrazolo[4,3-c]pyridin-5-yl}-2-hydroxyethan-1-one
COc1ccc(cc1)c2ccc(cc2)Sc3ccccc3C(CCC(=O)O)C(=O)O	B9Z	(2~{s})-2-[2-[4-(4-methoxyphenyl)phenyl]sulfanylphenyl]pentanedioic acid
[Ba+2]	BA	barium ion
CCC(=O)N1CCC(CC1)C2CCNc3n2nc(c3C(=O)N)c4ccc(cc4)Oc5ccccc5	BA0	(7s)-2-(4-phenoxyphenyl)-7-(1-propanoylpiperidin-4-yl)-4,5,6,7-tetrahydropyrazolo[1,5-a]pyrimidine-3-carboxamide
c1cc(c(c(c1)O)C(=O)c2c(cc(cc2O)C(=O)OC3CCCNCC3NC(=O)c4ccc(cc4)O)O)C(=O)O	BA1	balanol
CCNCC1C(C(C(O1)n2c3c(c(ncn3)N)nc2NCCCCNC(=O)CCCCC4C5C(CS4)NC(=O)N5)O)O	BA2	5'-deoxy-5'-(ethylamino)-8-{[4-({5-[(3as,4s,6ar)-2-oxohexahydro-1h-thieno[3,4-d]imidazol-4-yl]pentanoyl}amino)butyl]amino}adenosine
c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)n5cnc6c5ncnc6N)O)O)O)O)N	BA3	bis(adenosine)-5'-triphosphate
CCCC(=O)NC1C(C(C(OC1=NOC(=O)Nc2ccccc2)CO)O)O	BA4	[[(3r,4r,5s,6r)-3-(butanoylamino)-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-ylidene]amino] n-phenylcarbamate
COC(=O)C1=C(c2cccnc2N(C1=O)O)N	BA5	methyl 4-azanyl-1-oxidanyl-2-oxidanylidene-1,8-naphthyridine-3-carboxylate
C(CCC(CO)O)CCO	BA6	(2s)-heptane-1,2,7-triol
c1ccc(c(c1)n2c(ccn2)c3cc(c(cc3O)O)CCc4ccccn4)Cl	BA8	4-[2-(2-chlorophenyl)pyrazol-3-yl]-6-(2-pyridin-2-ylethyl)benzene-1,3-diol
CC(C)(O)O	BA9	propane-2,2-diol
CC(C(=O)N)NC(=O)C(C)NC(=O)OC(C)(C)C	BAA	(tert-butyloxycarbonyl)-alanyl-alanyl-amine
c1cc2c(cc1C(=[NH2+])N)[nH]c([nH+]2)Cc3[nH]c4cc(ccc4n3)C(=[NH2+])N	BAB	bis(5-amidino-benzimidazolyl)methane
c1cc(ccc1CNC=O)I	BAC	n-(4-iodo-benzyl)-formamide
CC(C)(C)C(=O)NC	BAE	n-methyltrimethylacetamide
CC(C(=O)NC(C)NC=O)NC(=O)OC(C)(C)C	BAF	(tert-butyloxycarbonyl)-alanyl-amino ethyl-formamide
c1ccc(cc1)C(=O)NC(=C(N)O)CCCNC(=N)N	BAG	n-[(e)-2-amino-1-(3-{[amino(imino)methyl]amino}propyl)-2-hydroxyvinyl]benzamide
c1cc2c(cc1C(=[NH2+])N)[nH]c(n2)C(c3[nH]c4cc(ccc4n3)C(=[NH2+])N)(O)O	BAH	bis(5-amidino-2-benzimidazolyl)methane ketone hydrate
c1ccc2c(c1)[nH]c(n2)Cc3[nH]c4ccc(cc4n3)C(=N)N	BAI	(5-amidino-2-benzimidazolyl)(2-benzimidazolyl)methane
CC(C)(C)C1CCN(CC1)CCCn2c3c(c(n2)c4ccc(c(c4)CNCc5ccc(cc5)F)C(F)(F)F)CN(CC3)S(=O)(=O)C	BAJ	1-[5-{1-[3-(4-tert-butylpiperidin-1-yl)propyl]-5-(methylsulfonyl)-4,5,6,7-tetrahydro-1h-pyrazolo[4,3-c]pyridin-3-yl}-2-(trifluoromethyl)phenyl]-n-[(4-fluorophenyl)methyl]methanamine
c1cc2c(cc1C(=[NH2+])N)[nH]c(n2)C(=O)c3[nH]c4cc(ccc4n3)C(=[NH2+])N	BAK	bis(5-amidino-2-benzimidazolyl)methane ketone
C(CN)C(=O)O	BAL	beta-alanine
c1ccc(cc1)C(=[NH2+])N	BAM	benzamidine
CC(C(=O)NCC(=O)Nc1ccc(cc1)[N+](=O)[O-])NC(=O)C(Cc2ccccc2)C(=O)NO	BAN	honh-benzylmalonyl-l-alanylglycine-p-nitroanilide
c1cc2c(cc1C(=N)N)[nH]c(n2)C(=O)c3[nH]c4cc(ccc4n3)C(=N)N	BAO	bis(5-amidino-2-benzimidazolyl)methanone
c1cc2ccc3cc4c(c5c3c2c(c1)cc5)CC(C(C4O)O)O	BAP	1,2,3-trihydroxy-1,2,3,4-tetrahydrobenzo[a]pyrene
C1CC(=O)NC1	BAQ	pyrrolidin-2-one
C1C2C(C=CC1(CC(O2)C(=O)O)C(=O)O)O	BAR	8-hydroxy-2-oxa-bicyclo[3.3.1]non-6-ene-3,5-dicarboxylic acid
CCC(c1ccccc1)NC=O	BAS	n-(1-phenyl-propyl)-formamide
CC(C)CC(C(CSc1cccs1)C(=O)NO)C(=O)NC(Cc2ccccc2)C(=O)NC	BAT	4-(n-hydroxyamino)-2r-isobutyl-2s-(2-thienylthiomethyl)succinyl-l-phenylalanine-n-methylamide
c1ccc(cc1)CC2=CN(C(=O)NC2=O)COCCO	BAU	1-((2-hydroxyethoxy)methyl)-5-benzylpyrimidine-2,4(1h,3h)-dione
CC1CCCCCCCCC(=O)N(C(C(=O)NC(C1)C(CNCc2cccc(c2)C(C)C)O)C)C	BAV	(3s,14r,16s)-16-[(1r)-1-hydroxy-2-{[3-(1-methylethyl)benzyl]amino}ethyl]-3,4,14-trimethyl-1,4-diazacyclohexadecane-2,5-
dione
CCc1cc(c(cc1O)O)c2c(c(n[nH]2)C)c3ccccc3F	BAW	4-ethyl-6-[4-(2-fluorophenyl)-3-methyl-1~{h}-pyrazol-5-yl]benzene-1,3-diol
CNC(=O)c1cc(ccn1)Oc2ccc(cc2)NC(=O)Nc3ccc(c(c3)C(F)(F)F)Cl	BAX	4-{4-[({[4-chloro-3-(trifluoromethyl)phenyl]amino}carbonyl)amino]phenoxy}-n-methylpyridine-2-carboxamide
CC(C)C(C(=O)NC(Cc1ccccc1)C(C(C(Cc2ccccc2)NC(=O)C(C(C)C)NC(=O)C(Cc3cccc4c3cccc4)CS(=O)(=O)C(C)(C)C)O)O)NC(=O)C(Cc5cccc6c5cccc6)CS(=O)(=O)C(C)(C)C	BAY	n-(1-benzyl-2,3-dihydroxy-4-{3-methyl-2-[2-(2-methyl-propane-2-sulfonylmethyl)-3-naphthalen-1-yl-propionylamino]-butyrylamino}-5-phenyl-pentyl)-3-methyl-2-[2-(2-methyl-propane-2-sulfonylmethyl)-3-naphthalen-1-yl-propionylamino]-butyramide
[H]N=C(c1ccc2c(c1)NC3=[N]2[Zn+2][N]4=C(C3)Nc5c4ccc(c5)C(=N)N)N	BAZ	bis(5-amidino-benzimidazolyl)methane zinc
CC(=O)c1ccc2cc(ccc2c1)N(C)C	BB0	1-[6-(dimethylamino)naphthalen-2-yl]ethanone
CCCCC(CN(C=O)O)C(=O)NC(C(=O)N(C)C)C(C)(C)C	BB1	2-[(formyl-hydroxy-amino)-methyl]-hexanoic acid (1-dimethylcarbamoyl-2,2-dimethyl-propyl)-amide
CCCCCC(CC(=O)NO)C(=O)NC(C(C)C)C(=O)N1CCCC1CO	BB2	actinonin
CCc1c(c2ccc(cc2o1)S(=O)(=O)N(C)C)C(=O)c3cc(c(c(c3)Br)O)Br	BB3	3-(3,5-dibromo-4-hydroxy-benzoyl)-2-ethyl-benzofuran-6-sulfonic acid dimethylamide
c1cc2c(cc1Br)c(c[nH]2)CC(=O)NO	BB4	2-(5-bromo-1h-indol-3-yl)-n-hydroxyacetamide
CC(=C(C(=O)O)N)S	BB6	(2z)-2-amino-3-sulfanylbut-2-enoic acid
COCC(=C(C(=O)O)N)S	BB7	(2z)-2-amino-4-methoxy-3-sulfanylbut-2-enoic acid
c1ccc(cc1)C(C(C(=O)O)N)O	BB8	(2s,3s)-beta-hydroxy-phenylalanine
C(=C(C(=O)O)N)S	BB9	(2z)-2-amino-3-sulfanylprop-2-enoic acid
c1cc(ccc1CC2CCCCC(C2=O)Cc3ccc(cc3)C(=N)N)C(=N)N	BBA	2,7-bis-(4-amidinobenzylidene)-cycloheptan-1-one
c1ccc(cc1)COc2cccc(c2)CC3=C(N(C(=O)NC3=O)COCCO)O	BBB	1-((2-hydroxyethoxy)methyl)-5-(3-(benzyloxy)benzyl)-6-hydroxypyrimidine-2,4(1h,3h)-dione
C(CCS(=O)CC(=N)CO)CN	BBC	3-[(4-aminobutyl)sulfinyl]-2-iminopropan-1-ol
Cc1cccc(c1)S(=O)(=O)N(C)C2=C(N(C(=O)NC2=O)Cc3ccccc3)N	BBE	n-(6-amino-1-benzyl-2,4-dioxo-1,2,3,4-tetrahydropyrimidin-5-yl)-n,3-dimethylbenzenesulfonamide
c1(c(c(c(c(c1F)F)Br)F)F)F	BBF	1-bromo-2,3,4,5,6-pentafluorobenzene
COc1ccc(cc1)S(=O)(=O)N2CN(C(=O)CC2C(=O)NO)Cc3ccccc3	BBH	1-benzyl-3-(4-methoxy-benzenesulfonyl)-6-oxo-hexahydro-pyrimidine-4-carboxylic acid hydroxyamide
CCCCc1c(c2ccccc2o1)C(=O)c3cc(c(c(c3)I)OCCN(CC)CC)I	BBI	(2-butyl-1-benzofuran-3-yl){4-[2-(diethylamino)ethoxy]-3,5-diiodophenyl}methanone
c1cc(c(cc1NC(=NO)c2c(non2)NCCNS(=O)(=O)N)Br)F	BBJ	n-(3-bromo-4-fluorophenyl)-n'-hydroxy-4-{[2-(sulfamoylamino)ethyl]amino}-1,2,5-oxadiazole-3-carboximidamide
CC(=O)NC1C(C(C(SC1O)CO)O)O	BBK	2-acetamido-2-deoxy-5-thio-alpha-d-galactopyranose
CC(C(=O)O)NC(=O)OCc1ccccc1	BBL	n-[(benzyloxy)carbonyl]-l-alanine
c1cc(c(cc1I)F)Nc2c(cc(c(c2F)F)Br)C(=O)NOCC(CO)O	BBM	5-bromo-n-(2,3-dihydroxypropoxy)-3,4-difluoro-2-[(2-fluoro-4-iodophenyl)amino]benzamide
B1(c2ccccc2C=NN1C(=O)N)O	BBN	1-hydroxy-2,3,1-benzodiazaborinine-2(1h)-carboxamide
c1cc2cccc3c2c(c1)C(=O)N(C3=O)CCCN4CCOCC4	BBO	2-[3-(morpholin-4-yl)propyl]-1h-benzo[de]isoquinoline-1,3(2h)-dione
CC(C)(C)C1=NN(C(C1)O)c2nc3ccc(cc3s2)Cl	BBP	(5r)-3-tert-butyl-1-(6-chloro-1,3-benzothiazol-2-yl)-4,5-dihydro-1h-pyrazol-5-ol
B12(C(CCO1)NC(=O)C3CC(CN3C(=O)C(C(C)(C)C)NC(=O)OC4CCCC4)Oc5c6ccccc6ccn5)OCC(CO2)O	BBQ	cyclopentyl n-[(2s)-1-[(2s,4r)-2-[[(4r)-8-hydroxy-1,6,10-trioxa-5$l^{4}-boraspiro[4.5]decan-4-yl]carbamoyl]-4-isoquinolin-1-yloxy-pyrrolidin-1-yl]-3,3-dimethyl-1-oxo-butan-2-yl]carbamate
C(C(=O)CBr)OP(=O)(O)O	BBR	(3-bromo-2-oxo-propoxy)phosphonic acid
CC(C)(C)c1ccc(cc1)S(=O)(=O)O	BBS	4-tert-butylbenzenesulfonic acid
c1ccc(cc1)C2(C(=O)NC(=NC2=O)O)N3CCC(CC3)CCO	BBT	2-hydroxy-5-[4-(2-hydroxy-ethyl)-piperidin-1-yl]-5-phenyl-1h-pyrimidine-4,6-dione
CCCCBr	BBU	1-bromobutane
CC(=O)NC1C(C(C(OC1OCc2ccccc2)CO)O)O	BBV	benzyl 2-acetamido-2-deoxy-alpha-d-glucopyranoside
Cc1ccc2c(c1)ncnc2N	BBW	7-methylquinazolin-4-amine
CCBr	BBX	1-bromoethane
Cn1c(cc(n1)N)c2cc3c(c(c2)Br)OCO3	BBY	5-(7-bromo-1,3-benzodioxol-5-yl)-1-methyl-1h-pyrazol-3-amine
CN1CCN(CC1)c2ccc3c(c2)nc([nH]3)c4ccc5c(c4)nc([nH]5)c6ccc(cc6)N(C)C	BBZ	2'-(4-dimethylaminophenyl)-5-(4-methyl-1-piperazinyl)-2,5'-bi-benzimidazole
c1ccc2c(c1)c3ccccc3c4c2ccc5c4CC(C(C5O)O)O	BC	benzo[g]chrysene
CN1Cc2c(c3c(nc(nc3s2)SCc4ccc(cc4)Cl)NCC=C)C=C1	BC0	2-{[(4-chlorophenyl)methyl]sulfanyl}-7-methyl-n-(prop-2-en-1-yl)-7,8-dihydropyrido[4',3':4,5]thieno[2,3-d]pyrimidin-4-amine
CN1c2ccccc2C(c3c1cccc3)(C#N)C(=O)NCCC(=O)O	BC1	3-{[(9-cyano-9,10-dihydro-10-methylacridin-9-yl)carbonyl]amino}propanoic acid
CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C=C(C1OC)C2=O)C)C)OC(=O)N)C)C)OC)OC	BC2	macbecin
c1cc(cnc1)Cc2c[nH]c3c2N=C(NC3=O)N	BC3	2-amino-7-(pyridin-3-ylmethyl)-3,5-dihydro-4h-pyrrolo[3,2-d]pyrimidin-4-one
C#CCCCCC1C2C(CS1)NC(=O)N2	BC4	(3as,4s,6ar)-4-(hex-5-yn-1-yl)tetrahydro-1h-thieno[3,4-d]imidazol-2(3h)-one
c1cc(ccc1c2ccc(cc2)S(=O)(=O)N)N	BC5	4'-aminobiphenyl-4-sulfonamide
CC1CCC=C(C(=O)Nc2cc(cc(c2)O)CC(CC(C(C(C=C(C1OC(=O)N)C)C)O)OC)C)C	BC6	(4e,8s,9r,10e,12s,13r,14s,16r)-13,20-dihydroxy-14-methoxy-4,8,10,12,16-pentamethyl-3-oxo-2-azabicyclo[16.3.1]docosa-1(22),4,10,18,20-pentaen-9-yl carbamate
CC(=O)N1CCc2c(c(nn2CC(CN3CCC(CC3)C(C)(C)O)O)c4ccc(c(c4)SCC(=O)N5CCCC5)C(F)(F)F)C1	BC7	2-[5-[5-ethanoyl-1-[(2~{r})-2-oxidanyl-3-[4-(2-oxidanylpropan-2-yl)piperidin-1-yl]propyl]-6,7-dihydro-4~{h}-pyrazolo[4,3-c]pyridin-3-yl]-2-(trifluoromethyl)phenyl]sulfanyl-1-pyrrolidin-1-yl-ethanone
C(CC(=O)O)C(C(=O)O)NC(=O)C(CC(=O)O)(CC(=O)O)O	BC8	beta-citryl-l-glutamic acid
CC1CC(CC(C(C(=CCCCC(OC(=O)CC(C(C1)C)O)C2CCC2C(=O)O)C#N)O)C)C	BC9	(1r,2r)-2-[(2s,6e,8r,9s,11r,13s,15s,16s)-7-cyano-8,16-dihydroxy-9,11,13,15-tetramethyl-18-oxooxacyclooctadec-6-en-2-yl]cyclobutanecarboxylic acid
CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)c4ccc(cc4)O)O	BCA	4-hydroxybenzoyl coenzyme a
CC=C1c2cc3c(c4c5n3[Mg]67[n+]2c(cc8n6c(cc9[n+]7c(c5C(C4=O)C(=O)OC)C(C9C)CCC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)c(c8C(=O)C)C)C1C)C	BCB	bacteriochlorophyll b
c1ccc(cc1)CC2(CCC3CCC(N3C2=O)C(=O)O)N	BCC	(3s,6s,8ar)-6-amino-6-benzyl-5-oxooctahydroindolizine-3-carboxylic acid
C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(O2)C(C8O)O)CO)CO)CO)CO)CO)CO)O)O)O	BCD	beta-cyclodextrin
CC(=C(C#N)C(=O)Nc1ccc(cc1)c2ccccc2)O	BCE	(2z)-n-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide
c1(c(c(c(c(c1F)F)Cl)F)F)F	BCF	1-chloro-2,3,4,5,6-pentafluorobenzene
CN1C2CCC1C(C(C2)OC(=O)c3ccccc3)C(=O)O	BCG	3-(benzoyloxy)-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylic acid
CCCC(=O)SCC[N+](C)(C)C	BCH	2-(butyrylsulfanyl)-n,n,n-trimethylethanaminium
CC1CCN(CC1)CCSc2cc(ccc2C(F)(F)F)c3c4c(n(n3)CC(CN5CCC(CC5)N6CC(CC6=O)O)O)CCN(C4)S(=O)(=O)C	BCJ	(4~{s})-1-[1-[(2~{s})-3-[3-[3-[2-(4-methylpiperidin-1-yl)ethylsulfanyl]-4-(trifluoromethyl)phenyl]-5-methylsulfonyl-6,7-dihydro-4~{h}-pyrazolo[4,3-c]pyridin-1-yl]-2-oxidanyl-propyl]piperidin-4-yl]-4-oxidanyl-pyrrolidin-2-one
Cn1c(c(cn1)CO)c2ccccc2	BCK	(1-methyl-5-phenyl-1h-pyrazol-4-yl)methanol
CCC1C(C2=CC3=C(C(=C4[N-]3[Mg+2]56[N]2=C1C=C7[N-]5C8=C(C(C(=O)C8=C7C)C(=O)OC)C9=[N]6C(=C4)C(C9CCC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)C)C)C(=O)C)C	BCL	bacteriochlorophyll a
CC(CO)(C(C12C(=O)NC(C(=C)CCO1)(C(=O)N2)O)O)O	BCM	bicyclomycin
C(CO)N(CCO)CC(=O)O	BCN	bicine
CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)O	BCO	butyryl coenzyme a
c1[nH]c2c(n1)nc(nc2Cl)Br	BCP	2-bromo-6-chloro-purine
CC1C(=C(NO1)C)CS(=O)(=O)CC(C(=O)NC(CCc2ccccc2)CCS(=O)(=O)c3ccccc3)NC(=O)N4CCOCC4	BCQ	n-[(1r)-1-[({[(5s)-3,5-dimethyl-2,5-dihydroisoxazol-4-yl]methyl}sulfonyl)methyl]-2-oxo-2-({(1s)-3-phenyl-1-[2-(phenylsulfonyl)ethyl]propyl}amino)ethyl]morpholine-4-carboxamide
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C	BCR	beta-carotene
c1ccc(cc1)CSCC(C(=O)O)N	BCS	benzylcysteine
C(=O)(O)[O-]	BCT	bicarbonate ion
c1ccc2c(c1)CC(CO2)CO	BCU	(3r)-3,4-dihydro-2h-chromen-3-ylmethanol
C1CC1C(C(=O)O)NC(=O)C(CS)NC(=O)CCCC(C(=O)O)N	BCV	d-(l-a-aminoadipoyl)-l-cysteinyl-d-cyclopropylglycine
CC1C(C(C(C(O1)OC2C(OC(C(C2OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)C)O)O)O)NC(=O)C)O)CO)O)O)O	BCW	6-deoxy-alpha-l-galactopyranosyl-(1->4)-[6-deoxy-alpha-l-galactopyranosyl-(1->2)-beta-d-galactopyranosyl-(1->3)]-2-(ace
 tylamino)-2-deoxy-alpha-d-glucopyranose
C(C(CS)N)C(=O)O	BCX	(3r)-3-amino-4-sulfanylbutanoic acid
CC1(CCN2CCC(N2C1=O)C=O)N	BCY	carboxyamino[4.3.0]bicyclo1,6-diazanonan-2-one
CCC(CC)C(C1C(CC(C1O)C(=O)O)NC(=N)N)NC(=O)C	BCZ	3-(1-acetylamino-2-ethyl-butyl)-4-guanidino-2-hydroxy-cyclopentanecarboxylic acid
c1cc(ccc1CN2CCC(C2)(F)F)C3CCC[NH+]3C(=O)c4cc(c(cc4O)O)Cl	BD0	(1s,2r)-1-[(5-chloro-2,4-dihydroxyphenyl)carbonyl]-2-{4-[(3,3-difluoropyrrolidin-1-yl)methyl]phenyl}pyrrolidinium
C1C=CCC2C1OC(O2)O	BD1	3a,4,7,7a-tetrahydro-benzo [1,3] dioxol-2-one
